content_id,author,body,target_lat,target_long,language,is_recommendable
1,Debbie Matoshin,methodical,62.20907,-6.75247,German,0
2,Adara Hamly,static,-22.328141199999997,27.8252814,Hebrew,1
3,Harbert Hundell,hardware,63.827461,20.2599325,West Frisian,1
4,Tann McNeachtain,Inverse,14.874441000000001,101.1843887,Khmer,1
5,Ali Venner,Persevering,10.796588999999999,-74.915036,Ndebele,0
6,Devin Cheales,hybrid,31.861596999999996,35.207914,Swahili,0
7,Barth Roisen,Right-sized,17.1939768,120.44850020000001,Kazakh,0
8,Alexina Danzelman,cohesive,45.294498,37.3986836,Macedonian,0
9,Reinaldo Sapwell,Streamlined,33.949850299999994,-117.636429,Lithuanian,1
10,Woodrow Greser,Fundamental,-6.9301649,108.79870840000001,Irish Gaelic,1
11,Odessa Youdell,asymmetric,39.61335,-8.9519943,Lao,0
12,Jade Libreros,approach,6.965581200000001,125.46094620000001,Estonian,1
13,Cammy Klishin,Monitored,-6.748750200000001,111.03188290000001,Swahili,0
14,Carey Sabine,Managed,-34.5204472,-58.53287339999999,Tswana,0
15,Humphrey Brierley,Centralized,43.7549435,11.2216134,Montenegrin,1
16,Ellen Radleigh,Cross-platform,-4.436417,119.6499162,Danish,1
17,Lin Mogg,background,9.096523199999998,123.19892420000001,West Frisian,1
18,Brade Paget,Focused,27.69417,109.73583,Māori,1
19,Tobiah Bellringer,internet solution,9.2610914,0.7770529,Kurdish,0
20,Georgianna Osband,installation,14.8465342,-88.3032755,Spanish,0
21,Joyous Faughey,content-based,42.8862964,74.67224590000001,Tajik,1
22,Della Kristoffersson,Cloned,59.738839399999996,10.1603397,Montenegrin,1
23,Anneliese Cool,contextually-based,31.415251,121.34663799999998,Hungarian,1
24,Effie Haseman,object-oriented,39.859131,-8.8426989,Zulu,1
25,Rickert Gostage,product,12.7854969,45.01865479999999,Punjabi,0
26,Stacie Kinsey,approach,57.881741000000005,11.936494699999999,Fijian,0
27,Charlene Prosser,structure,63.00979720000001,18.1864547,Bengali,0
28,Jana Rosenstein,secondary,-7.2038055,-78.3244788,Catalan,0
29,Gran Smylie,Down-sized,32.9187879,115.98117350000001,Greek,0
30,Ellyn Brownrigg,bottom-line,-9.8867238,124.24771709999999,Arabic,1
31,Bernardine Bilbey,Versatile,49.2958555,4.3603508,Pashto,1
32,Gerardo Soda,emulation,3.5144203999999997,11.5077573,Guaraní,0
33,Wynne Grosvenor,user-facing,54.956234200000004,20.4747022,Quechua,1
34,Erhard MacMarcuis,Vision-oriented,-16.5039502,-68.219452,Macedonian,1
35,Orazio Hinzer,Cloned,-7.1476205,112.86119599999999,Yiddish,0
36,Kimmie Blenkensop,Configurable,27.867125,107.503649,Tamil,1
37,Aldon Onyon,bottom-line,18.7853577,99.0184183,Tok Pisin,0
38,Arturo Ickovitz,discrete,27.198639,54.3666012,Montenegrin,1
39,Evelina Pawlik,Streamlined,15.3047612,-88.6639228,Norwegian,1
40,Hadrian Elderfield,Cross-group,51.36499,17.468410000000002,Tsonga,0
41,Michale Whear,well-modulated,40.7576842,23.134218399999998,French,0
42,Tildi Shepstone,contextually-based,41.962304700000004,101.0745036,Portuguese,1
43,Maxwell Toun,knowledge base,41.701706,48.280932299999996,Swedish,0
44,Horace Kulas,complexity,0.400097,128.281906,Norwegian,0
45,Sapphira Corns,homogeneous,29.841046999999996,112.673519,Mongolian,1
46,Wilie Munroe,monitoring,39.5093131,-7.8148208,Mongolian,1
47,Ree Whitta,Fully-configurable,41.7595825,-7.477354300000001,Dari,0
48,Lorrie Glyssanne,interactive,42.829907899999995,59.007231700000006,Mongolian,1
49,Orren Ferrolli,application,42.9285549,133.0448635,Irish Gaelic,0
50,Brynn Shenton,Grass-roots,6.749663900000001,11.8036596,Tetum,0
51,Robinet Carlesi,systematic,-6.8447302,108.2427764,Italian,0
52,Jonathan Kemmer,access,45.6326302,4.909835,Papiamento,1
53,Ashlen Brattan,stable,5.478256,-75.1311874,Kazakh,1
